number,subject,question,a,b,c,d,answer,difficulty
1,functions,"If f(x) = 2x + 3, what is f(2)?",5,7,8,10,b,easy
2,functions,"If f(x) = x^2 - 4x + 3, what is f(3)?",0,1,2,3,b,medium
3,functions,"Which of the following represents a linear function?", "f(x) = 2x + 1", "f(x) = x^2 + 3", "f(x) = √x", "f(x) = 1/x",a,easy
4,functions,"If g(x) = 3x - 5, what is the value of g(0)?",-5,0,3,5,a,easy
5,functions,"If h(x) = 4x + 7 and h(a) = 19, what is the value of a?",1,3,5,7,b,medium
6,functions,"The function f(x) = x^2 is:",linear,quadratic,exponential,logarithmic,b,easy
7,functions,"If f(x) = 2x + 3, what is f(f(1))?",7,9,11,13,c,medium to hard
8,functions,"Which of the following is not a function?", "y = x + 2", "y = x^2 - 4x + 4", "y^2 = x", "y = 1/x",c,hard
9,functions,"If f(x) = 5x - 2, what is f(3) + f(2)?",19,20,21,22,d,medium
10,functions,"If f(x) = 3x^2 - 2x + 1 and g(x) = x + 4, find f(g(2)).",75,67,71,69,a,hard
11,geometry,"What is the area of a rectangle with length 5 cm and width 3 cm?",8,10,12,15,b,easy
12,geometry,"What is the perimeter of a square with side length 4 cm?",12,14,16,20,c,easy
13,geometry,"If the radius of a circle is 6 cm, what is its area? (Use π ≈ 3.14)",36,54,113.04,113,a,easy
14,geometry,"The base of a triangle is 8 cm, and the height is 5 cm. What is its area?",20,30,35,40,a,easy
15,geometry,"The sum of the interior angles of a triangle is always:",180,90,360,270,a,easy
16,geometry,"The diagonal of a rectangle has a length of 10 cm, and one side is 6 cm. What is the length of the other side? (Use the Pythagorean Theorem)",8,9,10,12,a,medium
17,geometry,"What is the volume of a cube with a side length of 4 cm?",16,32,64,128,c,medium
18,geometry,"A circle has a circumference of 31.4 cm. What is its radius? (Use π ≈ 3.14)",5,7,10,15,b,medium
19,geometry,"The area of a sector of a circle is 15 cm², and its central angle is 60°. What is the radius of the circle? (Use π ≈ 3.14)",3,5,6,7,b,hard
20,geometry,"A right-angled triangle has legs of 6 cm and 8 cm. What is the length of the hypotenuse? (Use the Pythagorean Theorem)",10,12,14,15,a,hard
21,trigonometry,"What is sin(30°)?",0,1/2,√2/2,√3/2,b,easy
22,trigonometry,"What is cos(60°)?",0,1/2,√3/2,1,b,easy
23,trigonometry,"What is the value of tan(45°)?",0,1,√3/3,√3,b,easy
24,trigonometry,"What is sin(90°)?",0,1/2,1,√3/2,c,easy
25,trigonometry,"What is cos(30°)?",1/2,√2/2,√3/2,1,c,medium
26,trigonometry,"What is tan(60°)?",0,1/√3,1,√3,d,medium
27,trigonometry,"If sin(θ) = 3/5, what is cos(θ)?",4/5,3/5,2/5,1/5,a,medium
28,trigonometry,"What is the exact value of sin(60°)?",1/2,√2/2,√3/2,1,c,medium
29,trigonometry,"If cos(θ) = 4/5, what is sin(θ)?",3/5,4/5,1/5,2/5,a,hard
30,trigonometry,"Find the value of θ if tan(θ) = 1.",30°,45°,60°,90°,b,hard
31,proportion,"If 2x = 8, what is the value of x?",2,3,4,5,c,easy
32,proportion,"If 3/4 = x/12, what is the value of x?",6,8,9,10,b,easy
33,proportion,"If a/b = 3/5, what is the value of a when b = 10?",12,15,18,20,b,easy
34,proportion,"If 7/9 = x/27, what is the value of x?",14,18,21,24,c,easy
35,proportion,"If 5x = 20 and 4y = 16, what is the ratio of x to y?",1:1,2:1,3:2,5:4,b,medium
36,proportion,"If 6/7 = x/14, what is the value of x?",10,12,14,16,b,medium
37,proportion,"A recipe requires 3 cups of sugar for every 4 cups of flour. How much sugar is needed for 12 cups of flour?",6,7,8,9,a,medium
38,proportion,"If 5/8 = x/32, what is the value of x?",15,18,20,25,c,hard
39,proportion,"If 3x = 2y and x = 6, what is the value of y?",3,4,6,9,b,hard
40,proportion,"If 4x/5 = 2y/3, what is the ratio of x to y?",1:1,5:6,3:2,2:3,b,hard
41,financial math,"If you invest $500 at an interest rate of 5% per year, what is the interest earned after one year?",20,25,30,35,b,easy
42,financial math,"You deposit $1,000 into an account that pays 3% annual interest. How much interest will you earn in 2 years?",30,60,90,120,b,easy
43,financial math,"What is the total amount in an account after 3 years if $2,000 is deposited at an interest rate of 4% per year, compounded annually?",2240,2400,2500,2600,a,easy
44,financial math,"You borrow $2,500 at an interest rate of 6% per year. How much interest will you owe after one year?",100,120,150,180,b,easy
45,financial math,"If you invest $5,000 at an interest rate of 4% compounded annually, how much will your investment be worth after 5 years?",6000,6200,6500,6800,b,medium
46,financial math,"How much will $1,000 grow to in 3 years if invested at 5% annual interest compounded quarterly?",1150,1160,1157,1200,c,medium
47,financial math,"You invest $3,000 at an annual interest rate of 6%, compounded quarterly. How much will you have in the account after 2 years?",3360,3380,3400,3420,a,medium
48,financial math,"What is the present value of $10,000 to be received in 5 years, if the annual interest rate is 8%?",6500,7200,8000,6800,a,hard
49,financial math,"How much will you need to invest now to have $5,000 in 4 years, assuming an annual interest rate of 7% compounded annually?",3500,3400,3000,4200,c,hard
50,financial math,"You invest $2,000 at an interest rate of 8% per year, compounded semi-annually. What will the investment be worth after 3 years?",2500,2600,2800,2900,b,hard
